,SYMBOL,EXPIRE_DATE,STRIKE,C_BID,C_ASK,C_IV,C_OI,C_VOLUME,C_DELTA,C_GAMMA,C_VEGA,C_THETA,C_RHO,C_LAST,UNDERLYING_LAST,P_BID,P_ASK,P_IV,P_OI,P_VOLUME,P_DELTA,P_GAMMA,P_VEGA,P_THETA,P_RHO,P_LAST,QUOTE_DATE,C_MID,P_MID,DTE,T,r,q,b
4280,SPXW,2026-03-02,2800,4062.0,4084.0,3.673,0.0,0.0,1.0,0.0,0.0,-0.0004,0.0767,0.0,6878.8799,0.0,0.05,2.6982,20.0,0.0,0.0,0.0,0.0,-0.0004,0.0,0.15,2026-02-27,4073.0,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4281,SPXW,2026-03-02,3000,3862.0,3884.7,3.468,1.0,0.0,1.0,0.0,0.0001,-0.0006,0.0821,3960.37,6878.8799,0.0,0.05,2.4973,7.0,0.0,0.0,0.0,0.0001,-0.0006,0.0,0.15,2026-02-27,3873.35,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4282,SPXW,2026-03-02,3200,3664.4,3686.1,3.2285,0.0,0.0,1.0,0.0,0.0001,-0.0008,0.0876,0.0,6878.8799,0.0,0.05,2.3093,7.0,0.0,0.0,0.0,0.0001,-0.0008,0.0,0.1,2026-02-27,3675.25,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4283,SPXW,2026-03-02,3400,3464.4,3486.1,2.9049,0.0,0.0,1.0,0.0,0.0001,-0.001,0.0931,0.0,6878.8799,0.0,0.05,2.1328,1.0,0.0,0.0,0.0,0.0001,-0.001,0.0,0.15,2026-02-27,3475.25,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4284,SPXW,2026-03-02,3600,3262.3,3285.7,2.745,0.0,0.0,1.0,0.0,0.0002,-0.0014,0.0986,0.0,6878.8799,0.0,0.05,1.9658,98.0,0.0,0.0,0.0,0.0002,-0.0014,0.0,0.1,2026-02-27,3274.0,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4285,SPXW,2026-03-02,3800,3063.0,3085.7,2.5354,0.0,0.0,1.0,0.0,0.0003,-0.0018,0.104,0.0,6878.8799,0.0,0.05,1.8079,137.0,0.0,0.0,0.0,0.0003,-0.0018,0.0,0.03,2026-02-27,3074.35,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4286,SPXW,2026-03-02,4000,2862.1,2885.7,2.2885,2.0,0.0,1.0,0.0,0.0004,-0.0024,0.1095,2908.89,6878.8799,0.0,0.05,1.6577,102.0,0.0,0.0,0.0,0.0004,-0.0024,0.0,0.05,2026-02-27,2873.8999999999996,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4287,SPXW,2026-03-02,4200,2662.2,2685.0,0.0,0.0,0.0,1.0,0.0,0.0005,-0.0032,0.115,0.0,6878.8799,0.0,0.05,1.5146,69.0,0.0,0.0,0.0,0.0005,-0.0032,0.0,0.05,2026-02-27,2673.6,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4288,SPXW,2026-03-02,4400,2462.2,2484.2,1.9614,1.0,0.0,1.0,0.0,0.0007,-0.0043,0.1204,2564.59,6878.8799,0.0,0.05,1.3778,78.0,0.0,0.0,0.0,0.0007,-0.0043,0.0,0.03,2026-02-27,2473.2,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
4289,SPXW,2026-03-02,4600,2262.4,2285.8,1.552,0.0,4.0,1.0,0.0,0.001,-0.0058,0.1259,2267.0,6878.8799,0.0,0.05,1.2466,522.0,0.0,0.0,0.0,0.001,-0.0058,0.0,0.05,2026-02-27,2274.1000000000004,0.037500000000000006,3,0.00821917808219178,0.02217082177294295,0.09079409186314823,-0.06862327009020527
